race_id,fp1_long_run,fp1_weather,fp2_long_run,fp2_weather,fp3_long_run,fp3_weather,qualifying,qualifying_weather,driver_perf,team_perf,track_type,race_weather,race_pace,finishing_position
22-01,96.810833,rainy,,dry,,dry,1,dry,0.0,0.0,Bahrain Grand Prix,dry,100.697709,1
22-01,96.868,rainy,96.183,dry,,dry,3,dry,0.0,1.0232558139534884,Bahrain Grand Prix,dry,102.792666,2
22-01,98.128,rainy,,dry,,dry,5,dry,0.0,0.0,Bahrain Grand Prix,dry,102.864192,3
22-01,97.529,rainy,94.913,dry,94.556,dry,9,dry,0.0,0.627906976744186,Bahrain Grand Prix,dry,102.040107,4
22-01,98.771333,rainy,94.782,dry,,dry,7,dry,0.0,0.0,Bahrain Grand Prix,dry,102.953298,5
22-01,,rainy,94.783,dry,95.365,dry,6,dry,0.0,0.0,Bahrain Grand Prix,dry,102.977245,6
22-01,,rainy,95.482,dry,97.13,dry,11,dry,0.0,0.0,Bahrain Grand Prix,dry,103.03521,7
22-01,97.676333,rainy,,dry,,dry,16,dry,0.0,0.0,Bahrain Grand Prix,dry,103.052105,8
22-01,,rainy,94.8,dry,96.607,dry,8,dry,0.0,0.18604651162790697,Bahrain Grand Prix,dry,103.087263,9
22-01,98.19225,rainy,95.586,dry,,dry,15,dry,0.0,0.20930232558139536,Bahrain Grand Prix,dry,102.161071,10
22-01,98.958846,rainy,95.377333,dry,97.057,dry,12,dry,0.0,0.23255813953488372,Bahrain Grand Prix,dry,103.265929,11
22-01,97.567,rainy,95.771,dry,96.896,dry,19,dry,0.0,0.0,Bahrain Grand Prix,dry,103.499245,12
22-01,98.75,rainy,96.971,dry,,dry,14,dry,0.0,0.0,Bahrain Grand Prix,dry,103.640631,13
22-01,98.6,rainy,96.055,dry,97.1376,dry,18,dry,0.0,0.0,Bahrain Grand Prix,dry,103.658929,14
22-01,98.5618,rainy,95.3305,dry,96.914,dry,13,dry,0.0,0.0,Bahrain Grand Prix,dry,103.682789,15
22-01,98.080333,rainy,97.037333,dry,,dry,20,dry,0.0,0.0,Bahrain Grand Prix,dry,103.778578,16
22-01,98.91175,rainy,96.962333,dry,97.236333,dry,17,dry,0.0,0.0,Bahrain Grand Prix,dry,103.814263,17
22-01,97.459,rainy,,dry,95.7634,dry,4,dry,0.0,0.0,Bahrain Grand Prix,dry,102.955803,18
22-01,98.234,rainy,93.656,dry,,dry,2,dry,0.0,0.0,Bahrain Grand Prix,dry,102.753433,19
22-01,97.508,rainy,,dry,96.422333,dry,10,dry,0.0,0.09302325581395349,Bahrain Grand Prix,dry,100.781022,20
22-02,94.167,dry,,dry,,dry,4,dry,0.0,0.0,Saudi Arabian Grand Prix,dry,96.884702,1.0
22-02,93.720333,dry,,dry,,dry,2,dry,1.04,1.0232558139534884,Saudi Arabian Grand Prix,dry,96.81834,2.0
22-02,94.129,dry,,dry,,dry,3,dry,0.72,0.9457364341085271,Saudi Arabian Grand Prix,dry,97.149255,3.0
22-02,95.068666,dry,92.092,dry,,dry,1,dry,0.0,0.2868217054263566,Saudi Arabian Grand Prix,dry,97.55534,4.0
22-02,96.32,dry,92.372,dry,93.7385,dry,6,dry,0.48,0.627906976744186,Saudi Arabian Grand Prix,dry,98.022234,5.0
22-02,94.27025,dry,92.4415,dry,92.136,dry,5,dry,0.24,0.18604651162790697,Saudi Arabian Grand Prix,dry,99.029404,6.0
22-02,94.828,dry,,dry,93.765,dry,11,dry,0.0,0.0,Saudi Arabian Grand Prix,dry,100.100187,7.0
22-02,94.368,dry,92.738,dry,,dry,9,dry,0.0,0.09302325581395349,Saudi Arabian Grand Prix,dry,100.232854,8.0
22-02,,dry,94.034,dry,92.185,dry,10,dry,0.4,0.23255813953488372,Saudi Arabian Grand Prix,dry,100.147687,9.0
22-02,95.936,dry,92.244,dry,,dry,16,dry,0.6,0.5038759689922481,Saudi Arabian Grand Prix,dry,100.373895,10.0
22-02,95.3245,dry,94.292,dry,,dry,13,dry,0.04,0.20930232558139536,Saudi Arabian Grand Prix,dry,99.54617,11.0
22-02,95.3885,dry,94.6275,dry,,dry,18,dry,0.0,0.0,Saudi Arabian Grand Prix,dry,99.768276,12.0
22-02,95.444,dry,93.196,dry,,dry,15,dry,0.0,0.0,Saudi Arabian Grand Prix,dry,101.483851,13.0
22-02,95.8085,dry,95.0546,dry,,dry,17,dry,0.0,0.0,Saudi Arabian Grand Prix,dry,102.143717,14.0
22-02,93.858833,dry,,dry,91.58,dry,8,dry,0.32,0.13953488372093023,Saudi Arabian Grand Prix,dry,98.269281,15.0
22-02,94.3725,dry,92.953,dry,,dry,7,dry,0.08,0.18604651162790697,Saudi Arabian Grand Prix,dry,98.455062,16.0
