race_id,fp1_weather,fp2_weather,fp3_weather,qualifying_weather,race_weather,track_environment,setup_demand,track_length,driver_perf,team_perf,fp1_long_run,fp2_long_run,fp3_long_run,race_pace,relative_qualifying,relative_finish
18-01,0,0,1,0,1,1,1,5.278,0.0,0.0,87.221,87.891,87.55600000000001,92.64281,0.15,0.05
18-01,0,0,1,0,1,1,1,5.278,0.0,0.0,88.58925,89.939,98.428,96.53675,0.95,1.0
18-01,0,0,1,0,1,1,1,5.278,0.0,0.0,89.632,90.375307,90.00365350000001,95.0192,0.85,0.95
18-01,0,0,1,0,1,1,1,5.278,0.0,0.0,88.4795,89.68325,97.374,93.188538,1.0,0.9
18-01,0,0,1,0,1,1,1,5.278,0.0,0.0,90.096,87.7185,99.085,91.430318,0.3,0.85
18-01,0,0,1,0,1,1,1,5.278,0.0,0.0,88.2825,87.5898,99.487,91.369916,0.35,0.8
18-01,0,0,1,0,1,1,1,5.278,0.0,0.0,88.577125,89.378,88.9775625,93.992603,0.7,0.7
18-01,0,0,1,0,1,1,1,5.278,0.0,0.0,91.3706,90.140375,99.615,93.949,0.9,0.65
18-01,0,0,1,0,1,1,1,5.278,0.0,0.0,89.667333,89.3975,89.5324165,93.682086,0.75,0.6
18-01,0,0,1,0,1,1,1,5.278,0.0,0.0,89.878428,89.290666,89.584547,93.45,0.65,0.55
18-01,0,0,1,0,1,1,1,5.278,0.0,0.0,90.831,89.3084,98.558333,94.662438,0.8,0.75
18-01,0,0,1,0,1,1,1,5.278,0.0,0.2790697674418604,88.8015,88.786333,97.2315,93.244896,0.6,0.45
18-01,0,0,1,0,1,1,1,5.278,0.0,0.5116279069767442,86.499,87.896,97.461,93.234862,0.5,0.4
18-01,0,0,1,0,1,1,1,5.278,0.0,0.0,88.761,89.07725,100.863,93.206103,0.4,0.35
18-01,0,0,1,0,1,1,1,5.278,0.0,0.4651162790697674,95.548,95.548,95.548,93.141862,0.2,0.3
18-01,0,0,1,0,1,1,1,5.278,0.0,0.0,87.826,89.076,97.179666,93.123603,0.55,0.25
18-01,0,0,1,0,1,1,1,5.278,0.0,0.0,88.570333,88.451333,96.818,92.764689,0.25,0.2
18-01,0,0,1,0,1,1,1,5.278,0.0,0.9302325581395348,87.8345,87.8345,87.8345,92.751586,0.1,0.15
18-01,0,0,1,0,1,1,1,5.278,0.0,0.0,85.694,87.602,96.54,92.729637,0.05,0.1
18-01,0,0,1,0,1,1,1,5.278,0.0,0.1627906976744186,88.410666,89.2144,88.812533,93.43112,0.45,0.5
18-02,0,0,0,0,0,2,1,5.412,0.0,0.0775193798449612,95.7666,93.9045,93.992,99.268678,0.8,0.65
18-02,0,0,0,0,0,2,1,5.412,0.0,0.0,94.993333,94.4385,94.7159165,99.15269,1.0,0.7
18-02,0,0,0,0,0,2,1,5.412,0.0,0.0,95.8608,94.484,94.293,99.637053,0.9,0.75
18-02,0,0,0,0,0,2,1,5.412,0.0,0.0077519379844961,96.114222,93.487333,93.655,99.133392,0.6,0.8
18-02,0,0,0,0,0,2,1,5.412,0.48,0.3100775193798449,94.393,93.2005,92.008,98.684,0.25,1.0
18-02,0,0,0,0,0,2,1,5.412,0.6,0.813953488372093,94.055666,92.727833,91.4,98.163647,0.1,0.9
18-02,0,0,0,0,0,2,1,5.412,0.32,0.4651162790697674,93.8152732,93.0577532,93.9449332,115.883,0.75,0.95
18-02,0,0,0,0,0,2,1,5.412,0.0,0.0155038759689922,95.71275,96.022,93.558,99.206696,0.95,0.6
18-02,0,0,0,0,0,2,1,5.412,0.0,0.0930232558139534,96.28675,96.649666,94.0854,99.133875,0.55,0.85
18-02,0,0,0,0,0,2,1,5.412,0.04,0.1705426356589147,95.490166,93.742,93.2985,99.112589,0.5,0.55
18-02,0,0,0,0,0,2,1,5.412,0.0,0.0,95.831,95.17,95.5005,98.192736,0.35,0.25
18-02,0,0,0,0,0,2,1,5.412,0.0,0.0,95.7448,96.3925,96.06865,98.884928,0.85,0.45
18-02,0,0,0,0,0,2,1,5.412,0.0,0.0,95.580666,95.580666,95.580666,98.994375,0.45,0.5
18-02,0,0,0,0,0,2,1,5.412,0.16,0.5116279069767442,93.5702,93.707933,93.845666,96.902017,0.15,0.1
18-02,0,0,0,0,0,2,1,5.412,0.72,0.5968992248062015,93.575,93.575,93.575,97.010464,0.2,0.15
18-02,0,0,0,0,0,2,1,5.412,0.0,0.0,95.4855,94.729,93.837,97.983232,0.3,0.2
18-02,0,0,0,0,0,2,1,5.412,1.0,0.9302325581395348,94.083666,91.732,92.907833,96.888589,0.05,0.05
18-02,0,0,0,0,0,2,1,5.412,0.24,0.1627906976744186,95.785,93.488666,92.834,98.613403,0.4,0.3
18-02,0,0,0,0,0,2,1,5.412,0.4,0.2790697674418604,94.759,94.759,94.759,98.634821,0.65,0.35
18-02,0,0,0,0,0,2,1,5.412,0.08,0.2635658914728682,95.327,94.4385,93.55,98.805875,0.7,0.4
18-03,1,1,0,0,1,2,1,5.451,0.0,0.1116279069767441,99.320428,99.2745,96.81,102.235102,0.75,1.0
18-03,1,1,0,0,1,2,1,5.451,0.0,0.0186046511627906,99.1692,99.84,99.5046,101.879703,0.95,0.95
