race_id,fp1_long_run,fp1_weather,fp2_long_run,fp2_weather,fp3_long_run,fp3_weather,qualifying,qualifying_weather,driver_perf,team_perf,track_type,race_weather,race_pace,finishing_position
18-01,87.221,dry,87.891,dry,87.55600000000001,rainy,3.0,dry,0.0,0.0,Australian Grand Prix,rainy,92.64281,1.0
18-01,88.58925,dry,89.939,dry,98.428,rainy,19.0,dry,0.0,0.0,Australian Grand Prix,rainy,96.53675,20.0
18-01,89.632,dry,90.375307,dry,90.00365350000001,rainy,17.0,dry,0.0,0.0,Australian Grand Prix,rainy,95.0192,19.0
18-01,88.4795,dry,89.68325,dry,97.374,rainy,20.0,dry,0.0,0.0,Australian Grand Prix,rainy,93.188538,18.0
18-01,90.096,dry,87.7185,dry,99.085,rainy,6.0,dry,0.0,0.0,Australian Grand Prix,rainy,91.430318,17.0
18-01,88.2825,dry,87.5898,dry,99.487,rainy,7.0,dry,0.0,0.0,Australian Grand Prix,rainy,91.369916,16.0
18-01,88.577125,dry,89.378,dry,88.9775625,rainy,14.0,dry,0.0,0.0,Australian Grand Prix,rainy,93.992603,14.0
18-01,91.3706,dry,90.140375,dry,99.615,rainy,18.0,dry,0.0,0.0,Australian Grand Prix,rainy,93.949,13.0
18-01,89.667333,dry,89.3975,dry,89.5324165,rainy,15.0,dry,0.0,0.0,Australian Grand Prix,rainy,93.682086,12.0
18-01,89.878428,dry,89.290666,dry,89.584547,rainy,13.0,dry,0.0,0.0,Australian Grand Prix,rainy,93.45,11.0
18-01,90.831,dry,89.3084,dry,98.558333,rainy,16.0,dry,0.0,0.0,Australian Grand Prix,rainy,94.662438,15.0
18-01,88.8015,dry,88.786333,dry,97.2315,rainy,12.0,dry,0.0,0.2790697674418604,Australian Grand Prix,rainy,93.244896,9.0
18-01,86.499,dry,87.896,dry,97.461,rainy,10.0,dry,0.0,0.5116279069767442,Australian Grand Prix,rainy,93.234862,8.0
18-01,88.761,dry,89.07725,dry,100.863,rainy,8.0,dry,0.0,0.0,Australian Grand Prix,rainy,93.206103,7.0
18-01,95.548,dry,95.548,dry,95.548,rainy,4.0,dry,0.0,0.4651162790697674,Australian Grand Prix,rainy,93.141862,6.0
18-01,87.826,dry,89.076,dry,97.179666,rainy,11.0,dry,0.0,0.0,Australian Grand Prix,rainy,93.123603,5.0
18-01,88.570333,dry,88.451333,dry,96.818,rainy,5.0,dry,0.0,0.0,Australian Grand Prix,rainy,92.764689,4.0
18-01,87.8345,dry,87.8345,dry,87.8345,rainy,2.0,dry,0.0,0.9302325581395348,Australian Grand Prix,rainy,92.751586,3.0
18-01,85.694,dry,87.602,dry,96.54,rainy,1.0,dry,0.0,0.0,Australian Grand Prix,rainy,92.729637,2.0
18-01,88.410666,dry,89.2144,dry,88.812533,rainy,9.0,dry,0.0,0.1627906976744186,Australian Grand Prix,rainy,93.43112,10.0
18-02,95.7666,dry,93.9045,dry,93.992,dry,16.0,dry,0.0,0.0775193798449612,Bahrain Grand Prix,dry,99.268678,13.0
18-02,94.993333,dry,94.4385,dry,94.7159165,dry,20.0,dry,0.0,0.0,Bahrain Grand Prix,dry,99.15269,14.0
18-02,95.8608,dry,94.484,dry,94.293,dry,18.0,dry,0.0,0.0,Bahrain Grand Prix,dry,99.637053,15.0
18-02,96.114222,dry,93.487333,dry,93.655,dry,12.0,dry,0.0,0.0077519379844961,Bahrain Grand Prix,dry,99.133392,16.0
18-02,94.393,dry,93.2005,dry,92.008,dry,5.0,dry,0.48,0.3100775193798449,Bahrain Grand Prix,dry,98.684,20.0
18-02,94.055666,dry,92.727833,dry,91.4,dry,2.0,dry,0.6,0.813953488372093,Bahrain Grand Prix,dry,98.163647,18.0
18-02,93.81527320000001,dry,93.05775320000001,dry,93.94493320000001,dry,15.0,dry,0.32,0.4651162790697674,Bahrain Grand Prix,dry,115.883,19.0
18-02,95.71275,dry,96.022,dry,93.558,dry,19.0,dry,0.0,0.0155038759689922,Bahrain Grand Prix,dry,99.206696,12.0
18-02,96.28675,dry,96.649666,dry,94.0854,dry,11.0,dry,0.0,0.0930232558139534,Bahrain Grand Prix,dry,99.133875,17.0
18-02,95.490166,dry,93.742,dry,93.2985,dry,10.0,dry,0.04,0.1705426356589147,Bahrain Grand Prix,dry,99.112589,11.0
18-02,95.831,dry,95.17,dry,95.5005,dry,7.0,dry,0.0,0.0,Bahrain Grand Prix,dry,98.192736,5.0
18-02,95.7448,dry,96.3925,dry,96.06864999999999,dry,17.0,dry,0.0,0.0,Bahrain Grand Prix,dry,98.884928,9.0
18-02,95.580666,dry,95.580666,dry,95.580666,dry,9.0,dry,0.0,0.0,Bahrain Grand Prix,dry,98.994375,10.0
18-02,93.5702,dry,93.707933,dry,93.845666,dry,3.0,dry,0.16,0.5116279069767442,Bahrain Grand Prix,dry,96.902017,2.0
18-02,93.575,dry,93.575,dry,93.575,dry,4.0,dry,0.72,0.5968992248062015,Bahrain Grand Prix,dry,97.010464,3.0
18-02,95.4855,dry,94.729,dry,93.837,dry,6.0,dry,0.0,0.0,Bahrain Grand Prix,dry,97.983232,4.0
18-02,94.083666,dry,91.732,dry,92.907833,dry,1.0,dry,1.0,0.9302325581395348,Bahrain Grand Prix,dry,96.888589,1.0
18-02,95.785,dry,93.488666,dry,92.834,dry,8.0,dry,0.24,0.1627906976744186,Bahrain Grand Prix,dry,98.613403,6.0
18-02,94.759,dry,94.759,dry,94.759,dry,13.0,dry,0.4,0.2790697674418604,Bahrain Grand Prix,dry,98.634821,7.0
18-02,95.327,dry,94.4385,dry,93.55,dry,14.0,dry,0.08,0.2635658914728682,Bahrain Grand Prix,dry,98.805875,8.0
18-03,99.320428,rainy,99.2745,rainy,96.81,dry,15.0,dry,0.0,0.1116279069767441,Chinese Grand Prix,rainy,102.235102,20.0
18-03,99.1692,rainy,99.84,rainy,99.50460000000001,dry,19.0,dry,0.0,0.0186046511627906,Chinese Grand Prix,rainy,101.879703,19.0
18-03,98.3964,rainy,97.449666,rainy,97.249,dry,17.0,dry,0.24,0.1395348837209302,Chinese Grand Prix,rainy,102.36129,18.0
18-03,98.3525,rainy,99.670857,rainy,99.0116785,dry,10.0,dry,0.0,0.0976744186046511,Chinese Grand Prix,rainy,103.601357,17.0
18-03,99.33875,rainy,99.33875,rainy,99.33875,dry,20.0,dry,0.04,0.0232558139534883,Chinese Grand Prix,rainy,101.607185,16.0
18-03,99.870666,rainy,100.5105,rainy,98.551333,dry,18.0,dry,0.0,0.0,Chinese Grand Prix,rainy,103.42625,14.0
18-03,99.07175,rainy,99.07175,rainy,99.07175,dry,14.0,dry,0.12,0.2325581395348837,Chinese Grand Prix,rainy,103.317017,13.0
18-03,98.8276,rainy,98.6965,rainy,98.76205,dry,8.0,dry,0.0,0.0093023255813953,Chinese Grand Prix,rainy,103.234017,12.0
18-03,99.307,rainy,98.704,rainy,95.971,dry,12.0,dry,0.02,0.0116279069767441,Chinese Grand Prix,rainy,103.221964,11.0
18-03,99.931,rainy,98.304833,rainy,96.678666,dry,16.0,dry,0.0,0.0,Chinese Grand Prix,rainy,103.475375,15.0
18-03,97.61075,rainy,96.645333,rainy,97.371666,dry,9.0,dry,0.02,0.1860465116279069,Chinese Grand Prix,rainy,102.203,9.0
18-03,96.513,rainy,96.513,rainy,96.513,dry,3.0,dry,0.44,0.6395348837209303,Chinese Grand Prix,rainy,100.447092,2.0
18-03,97.325333,rainy,97.325333,rainy,97.325333,dry,2.0,dry,0.3,0.7558139534883721,Chinese Grand Prix,rainy,101.617,3.0
18-03,97.3995666,rainy,96.8865166,rainy,95.8143666,dry,4.0,dry,0.66,0.6511627906976745,Chinese Grand Prix,rainy,100.73324,4.0
18-03,97.2525,rainy,96.59025,rainy,95.928,dry,5.0,dry,0.16,0.3488372093023256,Chinese Grand Prix,rainy,100.549407,5.0
18-03,97.07,rainy,98.337,rainy,97.70349999999999,dry,6.0,dry,0.24,0.2325581395348837,Chinese Grand Prix,rainy,100.498296,1.0
